"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"9 days ago","3.1 million likes!? OH MY GOD!! This is a dope video!!! Keep it up, Youtube!!!!!!","2","@nothingbutpain863","false","false","false","false","","false",""
"9 days ago","Ahora que lo veo, 5 años después, no estaba tan mal Si, da cringe a morir pero hay videos y canales peores xd","2","@cereal_de_agua","false","false","false","false","","false",""
"9 days ago (edited)","Why is half of the 2018 rewind Fortnite","2","@RustyVR4235","false","false","false","false","","false",""
"9 days ago","20 Million Dislikes","2","@maysonguy","false","false","false","false","","false",""
"10 days ago","Que cagado que despues de que ahora solo hay rewind hispano este video se vea bien xd","2","@guscg5040","false","false","false","false","","false",""
"10 days ago","Who’s here after the newest Odd Ones Out video?! 😂👏🏽","2","@cristianflores8913","false","false","false","false","","false",""
"12 days ago","This is just cringe 💀","2","@kuliahdokterij4689","false","false","false","false","","false",""
"11 days ago","Newgen","0","@KirbyPlushStudiosr6210","true","false","false","false","","false",""
"2 weeks ago","20m dislikes is crazy","2","@conor_rine","false","false","false","false","","false",""
"2 weeks ago","woi gua masi dislike video ini cok😭😭😭","2","@siapainiyglogakunguaa8969","false","false","false","false","","false",""
"2 weeks ago","Just because they added JordanIndian It is okay But people disagreed with me (Pls don't hate me)","2","@Realawsomeplayz","false","false","false","false","","false",""
"2 weeks ago (edited)","Let's make it even more disliked video","2","@satvikbudania5812","false","false","false","false","","false",""
"2 weeks ago","bro 20m? dislikes","2","@phillipbridgmon9793","false","false","false","false","","false",""
"2 weeks ago","good until kpop in my opinion","2","@Gibbertron","false","false","false","false","","false",""
"2 weeks ago","3.1m likes/20m dislikes. Just as it should be","2","@ssgshad","false","false","false","false","","false",""
"2 weeks ago","20 million dislikes is crazy","2","@Mino_Prime","false","false","false","false","","false",""
"2 weeks ago","20m dislikes lmao","2","@Nottibotus","false","false","false","false","","false",""
"2 weeks ago","What’s wrong with this video","2","@jacobparham5738","false","false","false","false","","false",""
"2 weeks ago","road to 30 mil dislikes","2","@Username-1289","false","false","false","false","","false",""
"2 weeks ago","Current rewind: 20 Million Dislikes","2","@nebulazr4537","false","false","false","false","","false",""
"2 weeks ago","20 mil dislikes is crazyyy","2","@lindaaustin9327","false","false","false","false","","false",""
